ICDec,ICRA,ICsigmaR,ICtime,ICmsec
52.5356,68.9134,3.25045,2016-01-08 09:41:38,254809
34.7128,167.979,0.50599,2016-01-12 18:18:12,718759
58.2016,308.821,7.98447,2016-01-05 09:53:38,966684
29.7359,62.8768,1.44296,2016-01-15 11:07:53,352287
36.4621,276.275,0.622407,2016-01-24 20:09:17,968384
7.62224,211.6,2.81427,2016-01-13 16:34:26,791432
84.7955,200.261,2.13613,2016-01-30 23:02:47,463873
5.37932,298.701,1.13402,2016-01-27 19:09:05,555042
47.2405,256.283,3.50886,2016-01-21 23:51:58,408290
88.7377,229.239,2.15611,2016-01-28 04:29:55,518063
16.0721,157.877,3.17234,2016-01-10 15:35:13,787058
32.2855,286.958,1.17078,2016-01-26 02:01:23,565216
48.2368,224.963,0.472965,2016-01-22 23:18:18,589723
72.3053,41.2968,2.57803,2016-01-08 11:47:48,864134
0.723837,271.145,0.975853,2016-01-11 18:28:15,844436
10.3896,223.46,0.440243,2016-01-08 06:14:35,624657
74.9081,204.047,4.15683,2016-01-29 05:47:06,927655
58.421,122.551,2.24823,2016-01-04 20:01:17,912645
78.9337,352.744,1.4515,2016-01-08 02:15:28,627115
48.545,67.5162,1.04602,2016-01-18 07:21:17,141261
15.5419,299.934,1.75195,2016-01-28 06:23:34,322797
24.0168,83.9123,1.21342,2016-01-07 18:58:40,60288
14.4853,6.55285,2.32823,2016-01-11 22:27:04,755357
35.1221,154.262,1.80615,2016-01-10 01:52:03,741641
28.724,183.638,0.76847,2016-01-04 01:06:19,816638
41.6493,229.625,2.28329,2016-01-15 11:58:11,271517
40.3138,61.0078,2.19549,2016-01-25 16:45:59,971042
55.1937,49.0749,0.959487,2016-01-24 07:04:26,941700
1.87558,17.4742,0.920836,2016-01-08 15:00:29,196867
23.8113,120.113,1.13022,2016-01-21 10:49:32,754921
88.1235,310.155,0.638557,2016-01-07 02:25:47,786197
68.3814,66.9939,0.625783,2016-01-26 19:56:06,602746
6.28104,356.065,0.625915,2016-01-02 21:12:55,88201
38.1361,168.895,0.995599,2016-01-03 16:59:22,432557
33.717,325.439,1.25786,2016-01-23 01:11:24,181938
50.4534,141.946,1.92769,2016-01-17 16:03:57,201000
36.2703,176.194,0.956848,2016-01-14 19:24:36,953572
59.188,36.4493,0.681843,2016-01-19 15:43:13,473997
29.6121,212.199,0.556704,2016-01-16 04:35:48,157970
18.2849,16.8123,0.46844,2016-01-07 06:17:12,329749
26.7583,292.464,0.817946,2016-01-10 08:03:44,136498
89.7159,146.272,4.46395,2016-01-23 14:05:30,434579
29.944,35.6275,0.472523,2016-01-02 07:24:29,206409
73.384,119.523,0.502713,2016-01-25 03:21:46,523556
10.1711,279.016,1.81453,2016-01-07 10:00:31,359461
77.7673,299.657,0.984986,2016-01-02 04:33:21,170913
0.950238,342.943,1.15966,2016-01-13 13:09:09,288539
54.3173,172.918,2.51784,2016-01-15 08:04:22,193602
70.0422,278.861,2.70355,2016-01-29 02:48:43,974253
64.9919,312.346,2.46475,2016-01-21 12:58:27,968985
53.3067,98.3216,1.37237,2016-01-22 12:30:24,583380
31.5238,282.136,1.15134,2016-01-07 23:37:28,159164
57.43,79.0688,0.774755,2016-01-11 05:37:57,468227
49.5325,346.555,1.87165,2016-01-27 05:23:16,332870
47.1337,206.654,1.11663,2016-01-10 16:25:00,887276
72.2253,94.556,1.8075,2016-01-19 18:22:50,163594
89.801,229.708,2.53712,2016-01-14 12:24:21,458804
86.4092,322.685,1.85068,2016-01-22 03:19:19,498864
19.5017,181.308,0.482004,2016-01-08 10:47:55,452984
66.3269,23.6989,0.527662,2016-01-13 10:50:38,169078
65.3969,132.22,1.24731,2016-01-08 08:22:57,410232
14.8457,329.8,1.04666,2016-01-01 15:38:42,111107
39.6898,85.8916,1.14027,2016-01-14 10:25:21,744473
74.2937,297.329,0.417423,2016-01-10 14:06:33,209414
87.416,111.444,1.70379,2016-01-03 01:22:47,359170
42.6009,15.7993,2.7869,2016-01-21 19:43:08,297202
20.6476,19.8248,1.0039,2016-01-24 06:20:23,694937
56.0682,282.424,0.670661,2016-01-17 03:50:03,119609
19.1088,197.429,0.466637,2016-01-05 13:08:23,552330
78.6414,181.679,1.69685,2016-01-18 05:53:11,973883
72.2714,150.762,1.65744,2016-01-16 12:44:03,711888
89.6562,210.174,0.48957,2016-01-30 08:25:51,710323
84.1624,236.244,0.676675,2016-01-05 18:09:29,230460
63.2073,177.707,0.523027,2016-01-01 03:51:08,843552
55.7476,68.9223,0.277744,2016-01-28 17:22:36,719450
37.2325,286.138,2.85369,2016-01-02 07:18:00,187169
27.2998,286.167,1.40323,2016-01-18 21:52:15,426007
11.5316,44.7778,2.9856,2016-01-05 06:50:04,376246
64.8002,157.599,0.450939,2016-01-22 01:24:07,513816
5.8653,232.653,1.40111,2016-01-24 07:20:43,228298
65.0751,86.7722,1.25902,2016-01-23 11:18:53,90440
79.952,349.801,0.741394,2016-01-02 03:02:37,246567
2.92176,287.644,0.348549,2016-01-18 11:39:36,635627
62.4898,88.3435,4.59686,2016-01-02 06:28:54,470234
62.9347,45.2368,0.526747,2016-01-11 09:05:09,651301
72.0736,263.81,2.11755,2016-01-13 11:07:27,277979
80.3718,31.1783,0.547597,2016-01-23 21:35:10,509681
17.7807,183.448,0.827365,2016-01-31 07:10:37,985844
85.4265,344.795,0.99536,2016-01-13 06:11:08,448929
54.3255,314.391,3.68855,2016-01-29 02:16:46,592624
31.293,21.7707,7.04869,2016-01-29 09:47:54,439022
58.8933,250.263,0.590262,2016-01-18 17:44:23,858173
25.6149,118.104,1.75139,2016-01-16 05:36:08,511317
9.73307,14.284,5.12748,2016-01-07 22:15:38,253571
71.8601,160.513,0.506509,2016-01-15 02:05:32,271228
21.2709,190.146,0.559009,2016-01-16 21:42:32,14077
62.2636,54.398,2.17629,2016-01-21 09:32:39,158519
49.4069,13.3305,0.700234,2016-01-06 16:48:54,21179
83.6592,164.216,1.10347,2016-01-29 09:36:40,251776
24.4498,12.1033,6.29524,2016-01-16 18:05:10,380253
35.5282,148.901,1.19075,2016-01-31 23:05:28,444436
54.6715,129.643,2.22389,2016-01-20 19:58:28,62070
77.5414,320.636,0.836331,2016-01-31 23:46:30,270290
9.13033,331.088,0.661433,2016-01-20 03:15:40,512202
56.9593,151.249,2.22194,2016-01-30 03:40:57,761742
75.7065,178.909,2.08914,2016-01-30 04:55:03,673570
24.0734,107.926,1.13439,2016-01-06 23:25:09,638916
10.0927,12.6869,1.29837,2016-01-17 18:34:11,692501
32.257,88.9554,1.53708,2016-01-10 03:54:35,206099
4.83594,266.85,1.42102,2016-01-21 12:40:27,724500
49.5581,260.011,0.685975,2016-01-12 21:10:53,579568
35.8424,182.144,0.717914,2016-01-08 12:49:06,692848
77.7235,355.22,2.28473,2016-01-01 17:45:56,201945
11.7764,18.9962,0.653279,2016-01-05 10:25:04,646903
78.0239,137.494,0.4839,2016-01-22 13:39:03,707746
10.3582,118.657,1.95813,2016-01-18 15:01:56,184973
21.5571,29.9745,1.49312,2016-01-17 01:14:19,525011
6.15164,267.9,0.756278,2016-01-19 19:45:28,525744
1.07677,216.667,0.517556,2016-01-13 04:15:18,52159
35.754,89.6569,1.61131,2016-01-14 23:26:36,885150
17.1692,109.921,0.678912,2016-01-13 18:09:38,420680
70.9291,216.061,0.759357,2016-01-27 23:19:24,843063
43.2848,296.18,2.48826,2016-01-06 19:55:08,278889
75.9374,107.6,4.2003,2016-01-01 00:15:54,753283
23.9572,161.326,0.746816,2016-01-16 13:39:19,254913
55.5156,114.976,1.27502,2016-01-18 01:58:48,124799
14.9664,281.553,2.34733,2016-01-03 21:37:19,205666
22.5961,105.709,0.551651,2016-01-04 19:37:58,15116
56.1776,186.278,0.704278,2016-01-09 20:16:06,155374
46.3824,124.812,1.70971,2016-01-03 21:28:16,582013
66.3886,182.663,0.639444,2016-01-02 11:25:09,205131
70.8857,130.313,2.69517,2016-01-07 22:28:15,433426
3.17736,38.4916,1.85205,2016-01-30 07:44:06,88130
47.4606,69.315,1.20181,2016-01-29 02:30:42,40392
1.01928,316.111,0.967442,2016-01-11 04:11:35,595599
82.7324,323.552,0.422196,2016-01-02 01:03:31,404725
52.2898,219.365,2.91142,2016-01-26 13:32:48,328485
38.5789,315.97,0.710368,2016-01-20 13:32:53,945711
27.2118,276.122,2.00416,2016-01-08 06:05:57,396351
72.0022,258.525,1.2878,2016-01-15 03:51:33,70347
0.314037,225.806,3.40067,2016-01-15 11:02:49,121490
43.6506,346.98,1.18504,2016-01-14 04:39:39,293303
24.322,269.438,0.648109,2016-01-22 14:37:26,61993
75.6228,179.502,2.1112,2016-01-05 17:04:38,384481
77.4884,303.243,1.56813,2016-01-25 01:04:08,40935
18.795,50.1681,0.493501,2016-01-17 03:02:49,926572
72.7057,300.945,1.30675,2016-01-09 19:39:55,111521
9.76234,328.115,0.721999,2016-01-17 22:19:45,807494
68.0445,195.288,1.25693,2016-01-17 19:15:16,167157
31.3751,237.292,0.552867,2016-01-23 03:52:02,597592
18.2662,340.609,4.19182,2016-01-15 08:45:14,156384
36.4036,204.631,1.39403,2016-01-03 23:28:09,410799
83.5584,279.422,1.00245,2016-01-21 03:35:16,962518
37.6216,213.282,1.55079,2016-01-31 01:37:21,701113
25.4535,21.277,3.02212,2016-01-04 12:37:04,805500
59.0019,247.374,1.25385,2016-01-01 06:47:24,52026
52.9799,359.443,5.70982,2016-01-25 21:04:24,702298
52.2101,33.4597,2.74345,2016-01-01 01:11:30,249351
39.9901,290.958,0.678043,2016-01-06 05:52:22,295217
44.8408,356.795,1.8593,2016-01-20 14:31:02,626871
5.76617,45.5736,0.810184,2016-01-24 21:18:02,305451
83.4345,248.01,1.05479,2016-01-22 09:08:06,819733
51.4048,254.383,0.4804,2016-01-15 15:51:49,524722
86.8725,277.811,1.133,2016-01-22 21:37:31,351372
10.307,9.97152,0.700251,2016-01-22 22:52:37,734644
44.2392,280.581,0.987952,2016-01-12 07:51:08,624687
3.29259,120.133,1.76851,2016-01-18 07:32:18,109470
87.2562,226.246,2.21395,2016-01-28 22:16:10,802500
75.577,65.2966,2.79087,2016-01-07 11:51:12,451276
76.1845,195.404,2.25794,2016-01-11 16:13:23,565767
80.3987,267.749,1.21612,2016-01-22 20:04:15,789079
80.3712,65.096,1.16457,2016-01-20 07:29:41,264237
39.0688,54.619,0.488364,2016-01-25 06:25:34,357705
86.5867,117.893,2.05331,2016-01-02 10:41:15,537829
24.363,42.998,0.848187,2016-01-19 21:27:07,814254
1.01289,63.5742,3.99814,2016-01-27 15:21:49,860507
26.569,14.9292,0.99692,2016-01-04 22:51:14,337951
40.4026,340.779,2.73386,2016-01-08 20:28:47,627129
20.6752,217.572,0.446421,2016-01-15 07:26:26,553017
16.6896,339.215,1.34527,2016-01-27 07:39:41,419317
84.931,342.65,1.04329,2016-01-26 22:04:39,845517
3.10311,152.264,0.804042,2016-01-06 23:46:07,560872
53.791,162.923,2.12788,2016-01-28 00:07:23,531058
10.5582,257.228,0.469952,2016-01-09 06:53:37,277719
46.7413,267.536,1.95873,2016-01-31 11:16:51,114537
77.9235,334.641,0.894407,2016-01-11 13:09:59,568204
59.9452,268.419,3.00579,2016-01-15 10:37:58,890734
62.8329,342.126,0.537069,2016-01-30 10:53:22,575893
75.5459,263.635,1.65966,2016-01-21 04:32:25,19919
53.2525,324.423,1.74209,2016-01-28 05:18:57,360993
36.661,333.876,0.905973,2016-01-21 22:43:07,648406
33.3482,112.025,1.29268,2016-01-30 15:37:11,554856
44.4891,337.567,1.00342,2016-01-31 09:58:57,588319
47.8965,173.001,0.495243,2016-01-16 01:21:20,427701
50.9701,41.3818,1.84228,2016-01-29 21:42:54,314965
16.2053,228.65,0.599325,2016-01-12 13:26:18,544848
56.6341,209.641,3.19716,2016-01-26 09:35:59,619026
16.6105,65.0926,1.27112,2016-01-05 23:08:51,406941
31.9327,265.786,0.530134,2016-01-03 23:25:04,996277
35.7892,187.669,0.89206,2016-01-19 15:38:58,206950
31.0351,117.967,1.99455,2016-01-05 19:52:10,987946
19.7181,268.92,1.10956,2016-01-03 08:28:34,717513
21.4412,171.42,1.21139,2016-01-14 17:25:02,310850
40.7901,345.726,2.19222,2016-01-04 01:30:36,505526
36.5014,227.395,4.69286,2016-01-23 22:33:40,627228
62.8623,265.153,1.55278,2016-01-18 16:55:08,994740
50.6451,224.031,0.972628,2016-01-10 16:57:27,556472
3.12035,71.2326,1.26118,2016-01-12 17:00:02,302320
71.5908,272.144,0.59358,2016-01-27 09:13:56,116590
46.4474,233.087,1.10043,2016-01-06 17:38:29,623386
79.3085,275.846,0.981818,2016-01-28 08:10:08,22040
75.4712,340.433,1.05748,2016-01-21 15:15:40,461064
89.4053,127.527,2.79156,2016-01-25 04:44:26,863599
80.9578,340.909,1.27005,2016-01-14 12:35:11,680339
43.4854,351.125,1.2857,2016-01-06 04:39:27,172846
19.6131,31.9782,0.748243,2016-01-06 09:58:46,710275
65.1473,63.2604,0.555052,2016-01-30 14:31:36,462292
20.2219,341.192,0.850524,2016-01-30 00:21:01,847853
74.0323,167.087,3.56957,2016-01-20 21:31:19,292885
53.956,206.487,0.519905,2016-01-08 02:48:21,146142
63.7401,316.253,0.466943,2016-01-18 09:19:28,72201
30.578,168.297,3.03405,2016-01-03 11:57:32,665355
8.18402,345.926,0.572418,2016-01-07 06:40:44,380664
74.9086,176.282,1.11505,2016-01-24 10:51:05,661671
40.1107,85.1306,1.0397,2016-01-09 18:31:40,350273
57.0921,43.7242,2.07929,2016-01-14 10:54:36,471623
45.1608,345.591,0.967416,2016-01-10 03:10:23,968179
67.9394,280.062,0.958486,2016-01-06 20:06:48,482397
85.8377,114.733,0.799264,2016-01-14 05:18:20,598575
64.4461,261.228,0.827825,2016-01-06 13:57:30,443599
45.8574,290.621,0.758906,2016-01-04 09:24:46,249836
18.5168,138.594,1.18059,2016-01-20 03:06:12,379356
88.2873,111.62,0.514297,2016-01-13 04:04:45,387861
52.415,298.471,1.86393,2016-01-02 06:17:59,941379
